Netlist file: net.in   Architecture file: arch.in
Array size: 92 x 92 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
p__cmx1ad_5	85	1	0	#150
p__cmx0ad_25	92	1	0	#151
p__cmx1ad_6	66	92	0	#152
p__cmnxcp_0	46	61	0	#153
p__cmx0ad_15	92	45	0	#154
p__cmx1ad_16	42	92	0	#155
p__cmx1ad_27	87	1	0	#156
p__cmnxcp_1	48	66	0	#157
p__cmx0ad_14	47	1	0	#158
p__cmx1ad_17	92	50	0	#159
p__cmx1ad_26	92	77	0	#160
p__cmx0ad_13	50	1	0	#161
p__cmx0ad_20	23	1	0	#162
p__cmx0ad_31	25	1	0	#163
p__cmx1ad_9	84	92	0	#164
p__cmx1ad_18	92	55	0	#165
p__cmx1ad_29	68	92	0	#166
p__cmx0ad_12	52	1	0	#167
p__cmx0ad_21	80	1	0	#168
p__cmx0ad_30	92	4	0	#169
p__cmx1ad_19	56	1	0	#170
p__cmx1ad_28	92	2	0	#171
p__cmx0ad_9	28	1	0	#172
p__cmx1ad_0	83	1	0	#173
p__cmndst1p0	40	84	0	#174
p__cmx0ad_6	22	36	0	#175
p__cmx0ad_7	92	49	0	#176
p__cmx1ad_3	43	92	0	#177
p__cmndst0p0	1	49	0	#178
p__cmx1ad_4	58	1	0	#179
p__cmx1ad_1	92	43	0	#180
p__cmx1ad_2	43	1	0	#181
p__cmx0ad_0	22	1	0	#182
p__cmx0ad_1	92	14	0	#183
p__cmx0ad_4	22	41	0	#184
p__cmx0ad_5	91	1	0	#185
p__cmxig_0	83	84	0	#186
p__cmx0ad_2	92	47	0	#187
p__cmxig_1	83	36	0	#188
p__cmx0ad_3	26	1	0	#189
p__cmx0ad_19	34	1	0	#190
p__cmx1ad_12	90	2	0	#191
p__cmx1ad_23	62	92	0	#192
p__cmxir_0	45	56	0	#193
p__cmx0ad_18	84	1	0	#194
p__cmx1ad_13	92	42	0	#195
p__cmx1ad_22	62	1	0	#196
p__cmxir_1	91	75	0	#197
p__cmx0ad_17	92	37	0	#198
p__cmx1ad_14	92	46	0	#199
p__cmx1ad_25	92	89	0	#200
p__cmx0ad_16	69	1	0	#201
p__cmx1ad_15	92	68	0	#202
p__cmx1ad_24	89	1	0	#203
p__cmx0ad_26	78	1	0	#204
p__cmx1ad_30	58	92	0	#205
p__cmx0ad_27	75	1	0	#206
p__cmx1ad_31	90	92	0	#207
p__cmx0ad_28	60	1	0	#208
p__cmx1ad_21	48	92	0	#209
p__cmx0ad_29	88	1	0	#210
p__cmx1ad_20	59	1	0	#211
ni39		41	70	0	#212
ni43		4	26	0	#213
ni42		4	37	0	#214
ni41		47	38	0	#215
ni40		43	39	0	#216
ni47		41	44	0	#217
ni46		18	37	0	#218
ni45		40	39	0	#219
ni44		14	38	0	#220
ni48		16	38	0	#221
ni38		31	42	0	#222
ni13		42	52	0	#223
n_n13958	42	68	0	#224
ni37		5	46	0	#225
ni14		42	50	0	#226
ni36		45	44	0	#227
ni11		40	54	0	#228
ni4		49	62	0	#229
ni35		51	44	0	#230
ni12		41	49	0	#231
n_n13895	40	37	0	#232
ni34		39	57	0	#233
ni9		47	53	0	#234
ni33		39	35	0	#235
ni10		45	52	0	#236
ni32		74	36	0	#237
ni7		49	49	0	#238
ni31		42	64	0	#239
ni8		46	48	0	#240
ni30		74	59	0	#241
ni5		46	63	0	#242
ni29		42	56	0	#243
ni6		50	64	0	#244
nv10727		28	37	0	#245
nv8608		14	41	0	#246
n_n424		43	62	0	#247
[425]		44	56	0	#248
[830]		43	64	0	#249
[856]		17	38	0	#250
[161]		88	5	0	#251
[290]		42	46	0	#252
nv10130		46	38	0	#253
[1289]		50	53	0	#254
n_n9245		13	37	0	#255
n_n13643	6	23	0	#256
n_n13271	34	69	0	#257
[265]		72	50	0	#258
[1323]		44	52	0	#259
[156]		92	5	0	#260
[289]		43	31	0	#261
n_n13390	28	48	0	#262
[711]		41	42	0	#263
nv69		5	33	0	#264
nv78		6	28	0	#265
[326]		13	36	0	#266
[302]		33	12	0	#267
[282]		3	27	0	#268
[514]		8	28	0	#269
n_n13789	3	30	0	#270
n_n13786	5	30	0	#271
[829]		2	31	0	#272
[839]		2	28	0	#273
[911]		6	27	0	#274
[1153]		7	26	0	#275
nv251		48	38	0	#276
n_n434		44	64	0	#277
nv6428		41	46	0	#278
[466]		49	36	0	#279
[594]		44	34	0	#280
[638]		44	39	0	#281
[792]		49	42	0	#282
[988]		42	38	0	#283
[1026]		45	37	0	#284
[1122]		48	44	0	#285
[1299]		75	45	0	#286
[462]		50	48	0	#287
[1002]		31	40	0	#288
[1085]		18	36	0	#289
nv10169		50	51	0	#290
[218]		24	37	0	#291
nv354		3	65	0	#292
nv406		37	41	0	#293
nv363		31	45	0	#294
nv401		23	41	0	#295
[191]		41	85	0	#296
[228]		24	38	0	#297
[260]		12	36	0	#298
[299]		2	64	0	#299
[396]		36	41	0	#300
[412]		37	45	0	#301
[439]		36	44	0	#302
[458]		1	66	0	#303
[1086]		32	44	0	#304
n_n1063		43	51	0	#305
[1343]		42	53	0	#306
nv444		2	48	0	#307
[176]		8	27	0	#308
[262]		9	47	0	#309
[319]		11	42	0	#310
[890]		4	47	0	#311
[177]		2	60	0	#312
[229]		17	86	0	#313
[382]		16	92	0	#314
nv10086		40	47	0	#315
n_n450		52	54	0	#316
nv539		22	89	0	#317
[186]		54	50	0	#318
[630]		45	41	0	#319
[1105]		51	45	0	#320
[1252]		42	45	0	#321
[155]		91	5	0	#322
[190]		51	55	0	#323
nv590		17	92	0	#324
n_n11282	70	48	0	#325
nv7447		63	82	0	#326
n_n13096	50	41	0	#327
nv2066		37	62	0	#328
n_n11570	5	60	0	#329
n_n13077	34	58	0	#330
[175]		58	36	0	#331
[264]		81	44	0	#332
[692]		26	18	0	#333
[708]		58	8	0	#334
n_n429		48	55	0	#335
[510]		41	37	0	#336
[636]		45	54	0	#337
nv3311		31	31	0	#338
nv3377		33	32	0	#339
nv3280		33	34	0	#340
nv3369		33	28	0	#341
n_n9587		29	25	0	#342
nv3273		33	33	0	#343
n_n9650		27	34	0	#344
[158]		30	38	0	#345
[178]		82	48	0	#346
[180]		17	36	0	#347
[294]		46	73	0	#348
[325]		45	73	0	#349
[395]		43	73	0	#350
[399]		46	57	0	#351
[403]		44	33	0	#352
[416]		67	40	0	#353
[438]		23	32	0	#354
[631]		52	38	0	#355
[762]		30	33	0	#356
[1336]		24	33	0	#357
n_n8104		71	21	0	#358
[281]		43	60	0	#359
[509]		51	47	0	#360
[331]		76	47	0	#361
[1165]		50	52	0	#362
nv633		40	66	0	#363
[150]		7	44	0	#364
[172]		8	30	0	#365
nv6450		65	74	0	#366
nv10248		47	63	0	#367
n_n13961	1	4	0	#368
[160]		61	5	0	#369
[202]		76	44	0	#370
[389]		45	57	0	#371
[478]		50	66	0	#372
[725]		46	65	0	#373
[930]		43	69	0	#374
[936]		42	67	0	#375
[1029]		44	68	0	#376
nv121		1	33	0	#377
nv158		1	40	0	#378
nv163		1	36	0	#379
n_n13541	10	32	0	#380
n_n13646	6	36	0	#381
n_n13755	6	38	0	#382
n_n13600	2	36	0	#383
[490]		13	39	0	#384
n_n13566	6	40	0	#385
nv116		1	32	0	#386
[426]		51	78	0	#387
[851]		2	34	0	#388
n_n13546	2	37	0	#389
nv212		9	34	0	#390
[222]		23	38	0	#391
[419]		8	43	0	#392
[318]		11	39	0	#393
[1037]		12	39	0	#394
nv222		6	37	0	#395
[342]		10	8	0	#396
[231]		2	71	0	#397
[768]		46	44	0	#398
nv667		37	85	0	#399
[441]		37	81	0	#400
[269]		27	91	0	#401
[604]		18	71	0	#402
[1032]		20	70	0	#403
[320]		16	66	0	#404
[1097]		15	54	0	#405
nv903		16	65	0	#406
nv952		26	66	0	#407
[157]		34	17	0	#408
nv963		17	70	0	#409
nv959		13	57	0	#410
nv758		38	82	0	#411
[388]		30	83	0	#412
[292]		27	90	0	#413
[357]		18	92	0	#414
[500]		17	71	0	#415
n_n12655	19	42	0	#416
nv772		37	82	0	#417
n_n11316	12	50	0	#418
nv699		35	64	0	#419
[379]		11	57	0	#420
[380]		14	60	0	#421
[1332]		35	66	0	#422
nv717		37	65	0	#423
[184]		38	45	0	#424
[1092]		39	66	0	#425
nv1117		38	63	0	#426
nv735		38	47	0	#427
[1131]		37	50	0	#428
nv1138		38	49	0	#429
nv739		38	50	0	#430
nv721		38	66	0	#431
nv1096		37	64	0	#432
nv703		36	67	0	#433
[459]		19	54	0	#434
[225]		36	58	0	#435
[152]		30	39	0	#436
[272]		15	36	0	#437
[483]		23	43	0	#438
[271]		20	42	0	#439
[211]		63	87	0	#440
[766]		18	42	0	#441
[811]		22	61	0	#442
[816]		19	43	0	#443
[345]		69	64	0	#444
[910]		21	51	0	#445
[1095]		14	59	0	#446
nv620		32	65	0	#447
[317]		10	58	0	#448
[332]		20	55	0	#449
nv624		34	66	0	#450
[1012]		34	65	0	#451
nv894		19	64	0	#452
nv890		12	64	0	#453
[1334]		16	64	0	#454
nv923		14	65	0	#455
nv919		8	65	0	#456
n_n12619	31	30	0	#457
[1039]		6	65	0	#458
nv1424		14	64	0	#459
n_n12696	27	69	0	#460
[436]		41	66	0	#461
nv768		30	65	0	#462
[205]		10	40	0	#463
[1060]		31	65	0	#464
nv972		18	54	0	#465
nv968		16	55	0	#466
[1046]		14	54	0	#467
nv1533		18	53	0	#468
nv992		15	63	0	#469
nv988		8	63	0	#470
[1038]		9	63	0	#471
[224]		14	39	0	#472
[312]		15	44	0	#473
nv801		28	66	0	#474
nv797		27	65	0	#475
[1008]		26	65	0	#476
nv914		14	66	0	#477
nv910		8	64	0	#478
[1312]		6	66	0	#479
n_n11076	4	20	0	#480
nv2190		2	24	0	#481
[1319]		3	23	0	#482
nv2176		16	35	0	#483
[621]		44	29	0	#484
nv2186		15	35	0	#485
[206]		49	17	0	#486
[757]		17	32	0	#487
[924]		16	34	0	#488
n_n9294		15	34	0	#489
nv2348		6	16	0	#490
[365]		34	18	0	#491
n_n10860	8	18	0	#492
[310]		5	12	0	#493
[216]		8	29	0	#494
[314]		5	3	0	#495
[253]		40	89	0	#496
[254]		41	89	0	#497
nv2565		2	20	0	#498
[270]		48	70	0	#499
[347]		4	5	0	#500
[1181]		5	16	0	#501
nv2397		3	21	0	#502
[164]		19	28	0	#503
[240]		20	34	0	#504
[400]		4	6	0	#505
[1194]		6	15	0	#506
[814]		1	7	0	#507
[880]		2	6	0	#508
n_n10947	7	11	0	#509
nv2240		1	23	0	#510
[404]		5	8	0	#511
[847]		29	5	0	#512
[884]		4	8	0	#513
n_n10922	9	9	0	#514
n_n10896	9	11	0	#515
[840]		22	4	0	#516
[881]		8	8	0	#517
nv2647		6	21	0	#518
[321]		5	4	0	#519
nv2183		6	22	0	#520
n_n11266	3	24	0	#521
[907]		1	87	0	#522
[1076]		20	87	0	#523
nv2790		16	20	0	#524
n_n9304		18	34	0	#525
n_n10590	5	20	0	#526
n_n10267	17	18	0	#527
[882]		15	4	0	#528
[1049]		15	5	0	#529
[346]		4	2	0	#530
[1179]		8	3	0	#531
n_n10282	5	24	0	#532
nv2622		12	20	0	#533
[1192]		11	8	0	#534
n_n10396	15	18	0	#535
[1087]		14	18	0	#536
nv2946		15	19	0	#537
[304]		24	32	0	#538
[751]		25	31	0	#539
[866]		7	23	0	#540
[252]		26	36	0	#541
[237]		19	27	0	#542
nv2252		20	15	0	#543
nv2235		5	10	0	#544
[179]		41	84	0	#545
[182]		14	36	0	#546
[166]		27	22	0	#547
[378]		23	30	0	#548
nv2340		18	19	0	#549
n_n10835	8	16	0	#550
[1184]		6	14	0	#551
nv2373		21	15	0	#552
[855]		35	20	0	#553
n_n9302		16	33	0	#554
nv3916		36	22	0	#555
[1281]		38	23	0	#556
[1296]		37	18	0	#557
nv3943		38	19	0	#558
n_n8890		53	31	0	#559
nv3918		33	19	0	#560
nv4058		37	19	0	#561
[870]		41	15	0	#562
[489]		41	10	0	#563
[989]		42	10	0	#564
n_n6710		53	38	0	#565
n_n9194		44	21	0	#566
n_n8976		41	21	0	#567
nv3927		38	20	0	#568
[1180]		48	22	0	#569
n_n8862		53	21	0	#570
[233]		82	10	0	#571
[305]		73	21	0	#572
n_n6367		50	39	0	#573
nv3908		50	36	0	#574
nv4045		37	20	0	#575
[1182]		38	2	0	#576
[632]		52	20	0	#577
[1041]		51	19	0	#578
nv4401		81	23	0	#579
[255]		38	21	0	#580
nv3915		39	15	0	#581
n_n7885		57	8	0	#582
[1065]		64	42	0	#583
n_n8085		67	34	0	#584
[775]		56	36	0	#585
nv4932		58	37	0	#586
n_n7095		58	35	0	#587
[1098]		36	18	0	#588
[834]		1	8	0	#589
[992]		38	16	0	#590
[689]		54	11	0	#591
[1007]		51	23	0	#592
n_n8352		53	22	0	#593
[214]		83	18	0	#594
[374]		74	34	0	#595
nv6576		41	82	0	#596
n_n5621		54	79	0	#597
nv669		40	90	0	#598
[827]		41	87	0	#599
[1047]		44	84	0	#600
[1081]		44	83	0	#601
[721]		47	79	0	#602
[464]		49	78	0	#603
n_n2328		49	89	0	#604
n_n4404		51	69	0	#605
nv6462		51	70	0	#606
[804]		55	89	0	#607
n_n4433		59	87	0	#608
[192]		82	52	0	#609
[196]		71	74	0	#610
[800]		49	85	0	#611
n_n4412		58	80	0	#612
n_n5729		51	82	0	#613
n_n4489		55	80	0	#614
[417]		56	81	0	#615
[193]		82	84	0	#616
[197]		69	80	0	#617
[151]		57	52	0	#618
[173]		63	74	0	#619
[1034]		74	75	0	#620
nv7445		57	60	0	#621
n_n3695		60	55	0	#622
nv7647		67	55	0	#623
nv7791		69	56	0	#624
n_n3349		58	56	0	#625
n_n3347		58	55	0	#626
n_n4509		56	86	0	#627
n_n5768		51	85	0	#628
nv10153		74	65	0	#629
n_n4501		62	86	0	#630
n_n5752		53	86	0	#631
n_n5644		57	88	0	#632
n_n3693		55	57	0	#633
n_n5514		55	85	0	#634
nv6589		43	89	0	#635
[477]		54	77	0	#636
[1074]		54	78	0	#637
nv7105		72	74	0	#638
n_n4543		54	73	0	#639
n_n5574		56	85	0	#640
nv6486		50	90	0	#641
nv7050		71	75	0	#642
n_n4473		52	69	0	#643
n_n4611		54	76	0	#644
[802]		52	90	0	#645
nv6472		48	88	0	#646
n_n5580		55	83	0	#647
nv6789		68	76	0	#648
nv8372		73	81	0	#649
n_n3016		70	90	0	#650
nv6859		70	76	0	#651
[822]		73	45	0	#652
[336]		75	46	0	#653
[1044]		70	45	0	#654
[1063]		72	58	0	#655
nv8638		75	58	0	#656
[405]		6	77	0	#657
n_n1241		12	79	0	#658
[245]		19	81	0	#659
[293]		35	80	0	#660
[316]		35	79	0	#661
[877]		20	82	0	#662
[308]		4	81	0	#663
n_n1243		4	79	0	#664
[1019]		20	61	0	#665
[1075]		15	60	0	#666
n_n2176		37	71	0	#667
[189]		82	79	0	#668
[194]		50	67	0	#669
[295]		41	67	0	#670
[309]		6	68	0	#671
[456]		3	66	0	#672
[700]		4	72	0	#673
[1109]		6	70	0	#674
n_n2483		39	76	0	#675
nv839		24	64	0	#676
[183]		82	24	0	#677
[257]		45	72	0	#678
[476]		70	34	0	#679
[487]		19	72	0	#680
[593]		34	64	0	#681
[626]		2	76	0	#682
[758]		30	84	0	#683
[786]		25	77	0	#684
[1027]		35	76	0	#685
[1322]		10	72	0	#686
[1344]		17	77	0	#687
n_n2484		24	75	0	#688
n_n1649		8	66	0	#689
n_n1247		10	83	0	#690
n_n1111		11	68	0	#691
[361]		42	79	0	#692
n_n1119		16	81	0	#693
nv883		29	69	0	#694
n_n1253		17	81	0	#695
n_n1263		30	80	0	#696
n_n1255		7	80	0	#697
[163]		60	42	0	#698
[171]		53	78	0	#699
[817]		41	83	0	#700
n_n1813		20	77	0	#701
[213]		79	32	0	#702
[506]		11	83	0	#703
[508]		27	81	0	#704
[226]		39	23	0	#705
[154]		30	14	0	#706
[485]		16	39	0	#707
nv9492		5	85	0	#708
[259]		10	69	0	#709
nv858		22	70	0	#710
[853]		7	71	0	#711
nv740		16	51	0	#712
n_n1593		6	73	0	#713
nv9031		9	91	0	#714
[897]		29	92	0	#715
n_n2466		6	91	0	#716
[703]		8	92	0	#717
[999]		9	92	0	#718
[1101]		23	91	0	#719
[278]		13	92	0	#720
[607]		16	91	0	#721
[1082]		13	90	0	#722
[806]		27	92	0	#723
n_n2448		21	90	0	#724
[1304]		34	90	0	#725
nv9029		8	91	0	#726
[341]		1	88	0	#727
[589]		1	82	0	#728
n_n2332		8	86	0	#729
[1146]		39	84	0	#730
nv662		33	64	0	#731
nv628		38	85	0	#732
[418]		38	84	0	#733
n_n2327		32	83	0	#734
[606]		14	92	0	#735
n_n1966		31	91	0	#736
[1302]		35	92	0	#737
[512]		6	81	0	#738
nv9129		7	84	0	#739
[1231]		7	89	0	#740
n_n2228		10	84	0	#741
[461]		11	92	0	#742
[1142]		36	84	0	#743
nv9173		1	84	0	#744
n_n2179		4	80	0	#745
n_n2180		13	79	0	#746
[398]		5	86	0	#747
[770]		14	91	0	#748
n_n1566		28	90	0	#749
n_n5610		39	88	0	#750
nv9066		45	75	0	#751
[951]		31	90	0	#752
n_n1574		7	90	0	#753
[1022]		15	89	0	#754
n_n1786		30	89	0	#755
[952]		28	91	0	#756
n_n1756		29	89	0	#757
[408]		36	88	0	#758
[782]		35	86	0	#759
[860]		33	92	0	#760
nv644		32	68	0	#761
n_n13028	34	70	0	#762
[266]		21	80	0	#763
[348]		38	86	0	#764
[1230]		8	89	0	#765
n_n1259		9	86	0	#766
[327]		10	88	0	#767
[1023]		11	88	0	#768
n_n1984		6	88	0	#769
[701]		21	84	0	#770
nv235		6	33	0	#771
[340]		50	40	0	#772
[381]		40	52	0	#773
[616]		8	62	0	#774
n_n12706	27	68	0	#775
nv754		28	68	0	#776
nv942		27	66	0	#777
[785]		33	68	0	#778
nv750		28	59	0	#779
[1048]		29	60	0	#780
nv1162		28	60	0	#781
nv928		14	47	0	#782
[1036]		8	46	0	#783
nv1445		16	44	0	#784
nv873		30	66	0	#785
nv983		12	65	0	#786
nv979		9	62	0	#787
[1313]		9	65	0	#788
[322]		4	19	0	#789
nv2197		5	17	0	#790
[1111]		7	16	0	#791
nv2493		2	15	0	#792
[238]		18	17	0	#793
[307]		20	27	0	#794
[315]		9	24	0	#795
[706]		6	19	0	#796
nv2793		17	20	0	#797
nv3060		16	18	0	#798
nv2534		9	18	0	#799
nv2930		14	20	0	#800
nv2627		16	23	0	#801
nv2330		6	18	0	#802
nv2766		11	15	0	#803
nv2995		2	4	0	#804
nv2314		10	24	0	#805
nv2963		10	5	0	#806
nv2473		3	10	0	#807
nv3109		7	5	0	#808
nv2545		2	13	0	#809
nv3077		12	5	0	#810
nv2857		8	4	0	#811
nv2807		14	5	0	#812
nv2359		5	14	0	#813
[169]		45	77	0	#814
[763]		25	21	0	#815
[344]		22	37	0	#816
[324]		13	34	0	#817
[1024]		18	28	0	#818
[1061]		21	26	0	#819
[1069]		21	27	0	#820
[1309]		23	28	0	#821
[208]		31	39	0	#822
[1341]		23	31	0	#823
n_n9022		50	23	0	#824
nv3961		50	17	0	#825
[323]		36	20	0	#826
[1185]		40	13	0	#827
n_n9141		52	4	0	#828
[990]		43	8	0	#829
n_n8948		59	4	0	#830
[1103]		44	11	0	#831
n_n7845		48	12	0	#832
[369]		52	37	0	#833
[370]		65	47	0	#834
[613]		71	45	0	#835
[279]		51	36	0	#836
[387]		43	70	0	#837
[473]		68	30	0	#838
[705]		65	14	0	#839
[1028]		69	30	0	#840
[1053]		68	81	0	#841
[1113]		79	61	0	#842
[1203]		70	20	0	#843
[1245]		63	28	0	#844
[1246]		63	24	0	#845
[1288]		51	32	0	#846
[698]		91	76	0	#847
[1031]		40	11	0	#848
n_n7837		47	8	0	#849
[258]		41	45	0	#850
n_n9255		64	17	0	#851
[153]		83	85	0	#852
[437]		28	11	0	#853
[895]		52	31	0	#854
[904]		65	32	0	#855
[1110]		47	73	0	#856
n_n7816		48	9	0	#857
n_n7945		60	31	0	#858
n_n7825		47	9	0	#859
[181]		52	57	0	#860
[227]		59	37	0	#861
[274]		55	33	0	#862
[474]		60	5	0	#863
[765]		59	10	0	#864
[908]		77	24	0	#865
[920]		20	36	0	#866
[1329]		64	24	0	#867
[358]		69	51	0	#868
[1290]		60	6	0	#869
[1292]		60	9	0	#870
[1351]		57	24	0	#871
[201]		61	33	0	#872
[249]		62	35	0	#873
[922]		57	21	0	#874
[1308]		59	8	0	#875
n_n7905		50	15	0	#876
[457]		59	9	0	#877
[1279]		58	26	0	#878
n_n7702		65	28	0	#879
n_n6922		59	35	0	#880
[165]		61	39	0	#881
[268]		60	39	0	#882
[618]		69	47	0	#883
[247]		41	29	0	#884
[818]		66	47	0	#885
[845]		65	16	0	#886
[848]		87	44	0	#887
n_n7808		56	18	0	#888
[311]		26	38	0	#889
nv4938		59	39	0	#890
[991]		39	14	0	#891
nv5285		71	39	0	#892
nv4409		80	23	0	#893
[170]		55	37	0	#894
[484]		46	77	0	#895
[587]		45	74	0	#896
[1118]		73	40	0	#897
[221]		77	38	0	#898
[352]		77	42	0	#899
[263]		43	29	0	#900
[377]		58	43	0	#901
[453]		62	37	0	#902
[699]		71	51	0	#903
[1339]		71	33	0	#904
[788]		71	50	0	#905
[791]		65	35	0	#906
nv5843		74	42	0	#907
[1189]		54	10	0	#908
n_n5481		51	74	0	#909
[801]		48	87	0	#910
[1006]		55	79	0	#911
n_n4441		60	85	0	#912
[826]		41	88	0	#913
[857]		46	89	0	#914
[1064]		54	83	0	#915
n_n5520		55	84	0	#916
nv7098		71	73	0	#917
nv7129		80	64	0	#918
[209]		70	56	0	#919
[199]		87	76	0	#920
[450]		80	70	0	#921
[448]		54	39	0	#922
[251]		80	8	0	#923
[244]		85	47	0	#924
[653]		85	68	0	#925
[203]		83	42	0	#926
[690]		91	51	0	#927
[797]		48	81	0	#928
n_n3014		66	88	0	#929
[335]		71	89	0	#930
nv8369		72	86	0	#931
nv10167		56	82	0	#932
[861]		43	84	0	#933
[501]		77	78	0	#934
[655]		85	77	0	#935
[828]		91	82	0	#936
[1114]		91	83	0	#937
[641]		76	83	0	#938
[673]		82	80	0	#939
[678]		80	78	0	#940
